codigo_municipio,nome_municipio,ano_referencia,populacao,rad_pop,pib,estado,lat,lon
3541406,Presidente Prudente (SP),2022,225668,1519.5049554366346,10344115,SP,-21.993056491561738,-51.34305153488395
3541505,Presidente Venceslau (SP),2022,35201,1095.963967589661,912752,SP,-21.792921213334555,-51.838259135124154
3542206,Rancharia (SP),2022,28588,1052.8283312858548,1724783,SP,-22.282523568059577,-50.92827134047339
3542404,Regente Feijó (SP),2022,20145,982.2220040702297,1123239,SP,-22.252505674492053,-51.29407610823585
3545506,Sandovalina (SP),2022,3645,672.582322046146,378966,SP,-22.477852764680048,-51.84208811101409
3547700,Santo Anastácio (SP),2022,17963,959.6297501895463,578356,SP,-22.037604957770288,-51.722456861005085
3548302,Santo Expedito (SP),2022,3000,641.0192162832172,53813,SP,-21.824852497412106,-51.37018347942868
3552908,Taciba (SP),2022,6260,764.214356583869,199128,SP,-22.504818905432117,-51.34225860761443
3553906,Tarabai (SP),2022,6536,771.7764179050721,170113,SP,-22.357975314842392,-51.625760532464646
3554300,Teodoro Sampaio (SP),2022,22173,1001.3265619406816,678820,SP,-22.416555915704606,-52.37414256843526
3504008,Assis (SP),2022,101409,1328.698183742729,4581891,SP,-22.60171272302568,-50.4207377646832
3507209,Borá (SP),2022,907,463.7804019086019,92174,SP,-22.24419807655068,-50.50211887930621
3509809,Campos Novos Paulista (SP),2022,4888,721.571843424473,234017,SP,-22.61086334692394,-50.01028956326345
3510005,Cândido Mota (SP),2022,29449,1058.9264566026943,2074288,SP,-22.808656405659708,-50.421664564722285
3513306,Cruzália (SP),2022,2108,585.7598433221071,217898,SP,-22.737990053336265,-50.76904672342539
3514700,Echaporã (SP),2022,6205,762.6722245721163,166592,SP,-22.44818818111112,-50.20060378031846
3516101,Florínea (SP),2022,3851,681.6299127331935,196358,SP,-22.881221926843907,-50.69531473803989
3519501,Ibirarema (SP),2022,6385,767.6750549659413,281211,SP,-22.813313650308643,-50.07692917960534
3527900,Lutécia (SP),2022,2661,621.9620828695686,100631,SP,-22.325228998216748,-50.38546744027576
3528809,Maracaí (SP),2022,12673,892.5013625235301,953215,SP,-22.652265408378607,-50.74532537236932
3534500,Oscar Bressane (SP),2022,2470,610.2692886512046,104638,SP,-22.295352879561236,-50.25735973263852
3535309,Palmital (SP),2022,19594,976.7326750838479,1256952,SP,-22.828771464477462,-50.2209347056133
3535507,Paraguaçu Paulista (SP),2022,41120,1128.7468594039208,2653821,SP,-22.459078978981946,-50.62651257137407
3539707,Platina (SP),2022,3025,642.348770298617,139777,SP,-22.62521560149689,-50.212743192926204
3541703,Quatá (SP),2022,13163,899.6835777908199,917951,SP,-22.205883820118057,-50.64525773783106
3506300,Bernardino de Campos (SP),2022,11607,875.9768780881038,482828,SP,-23.03073596268078,-49.491891488524466
3557204,Chavantes (SP),2022,12211,885.4984017788704,379732,SP,-23.046323697165562,-49.72653626808657
3515400,Fartura (SP),2022,16641,944.7110642235031,482673,SP,-23.390160835716312,-49.51969177297826
3520905,Ipaussu (SP),2022,13712,907.4518356194694,583771,SP,-23.06510953054641,-49.60813214221963
3528601,Manduri (SP),2022,9871,845.9136556567526,310584,SP,-23.046993390515578,-49.30364448141131
3533809,Óleo (SP),2022,2512,612.9065006035542,121966,SP,-22.95365082280084,-49.38303147194499
3534708,Ourinhos (SP),2022,103970,1334.4541574280988,4463317,SP,-22.952660173511283,-49.85240794532348
3538808,Piraju (SP),2022,29436,1058.8355862416875,976906,SP,-23.186915609805368,-49.36610937066426
3543204,Ribeirão do Sul (SP),2022,4677,714.0946563544146,295844,SP,-22.751663714635793,-49.922668094563086
3545407,Salto Grande (SP),2022,9050,830.0157533900233,320746,SP,-22.8708893306003,-49.96076476070735
3546405,Santa Cruz do Rio Pardo (SP),2022,46442,1154.7564560157318,3445164,SP,-22.80924711549873,-49.56889971238036
3550506,São Pedro do Turvo (SP),2022,7217,789.2891427831017,235146,SP,-22.6789097177322,-49.77232200825506
3551207,Sarutaiá (SP),2022,3704,675.2185973124414,93449,SP,-23.257519341719156,-49.48173975323425
