Regiao_i,Hub_k,O_i,N_col_i,R_col_i,d_ik_km,L_acesso_col_ik_km,L_interno_col_i_km,Dist_col_ik_km,TC_col_ik_reais,C_col_ik_reais_por_pacote
Marília,Campinas,975.685918,975.685918,7,304.31185394601744,4260.365955244244,3877.582687263262,8137.9486425075065,20344.871606268767,20.851865575730045
Marília,Sorocaba,975.685918,975.685918,7,259.95033114537534,3639.3046360352546,3877.582687263262,7516.887323298517,18792.218308246294,19.260520175147484
Marília,Ribeirão Preto,975.685918,975.685918,7,283.47245407560376,3968.6143570584527,3877.582687263262,7846.197044321714,19615.492610804286,20.104310463978926
Marília,São José dos Campos,975.685918,975.685918,7,466.1049818207681,6525.469745490754,3877.582687263262,10403.052432754015,26007.63108188504,26.6557409531917
Marília,São José do Rio Preto,975.685918,975.685918,7,200.74943927684444,2810.492149875822,3877.582687263262,6688.074837139084,16720.187092847707,17.13685396538408
Marília,Bauru,975.685918,975.685918,7,122.03883303050095,1708.5436624270133,3877.582687263262,5586.126349690276,13965.31587422569,14.313331387268919
Marília,Araraquara,975.685918,975.685918,7,215.6135272857426,3018.5893820003967,3877.582687263262,6896.172069263659,17240.430173159148,17.670061497350776
Marília,Presidente Prudente,975.685918,975.685918,7,156.3515501677159,2188.921702348023,3877.582687263262,6066.504389611285,15166.260974028211,15.544204025324685
Marília,Araçatuba,975.685918,975.685918,7,160.10879260712767,2241.5230964997872,3877.582687263262,6119.105783763049,15297.764459407623,15.678984576066847
Presidente Prudente,São Paulo,352.188376,352.188376,3,531.1319849365414,3186.791909619248,2175.616714358294,5362.408623977542,13406.021559943856,38.064917735796755
Presidente Prudente,Campinas,352.188376,352.188376,3,456.96238640909,2741.77431845454,2175.616714358294,4917.391032812834,12293.477582032085,34.90597197345345
Presidente Prudente,Sorocaba,352.188376,352.188376,3,415.5181279421347,2493.108767652808,2175.616714358294,4668.725482011102,11671.813705027755,33.14082604767102
Presidente Prudente,Ribeirão Preto,352.188376,352.188376,3,387.8195883064899,2326.917529838939,2175.616714358294,4502.534244197233,11256.335610493083,31.96112188124313
Presidente Prudente,São José dos Campos,352.188376,352.188376,3,619.9648896815082,3719.789338089049,2175.616714358294,5895.4060524473425,14738.515131118356,41.84838607824568
Presidente Prudente,São José do Rio Preto,352.188376,352.188376,3,238.4117000592519,1430.4702003555115,2175.616714358294,3606.0869147138055,9015.217286784515,25.597713897248315
Presidente Prudente,Bauru,352.188376,352.188376,3,270.18637533582864,1621.1182520149719,2175.616714358294,3796.7349663732657,9491.837415933165,26.951024118789103
Presidente Prudente,Araraquara,352.188376,352.188376,3,348.9977634847596,2093.9865809085577,2175.616714358294,4269.603295266852,10674.008238167131,30.307667616398366
Presidente Prudente,Marília,352.188376,352.188376,3,156.3515501677159,938.1093010062955,2175.616714358294,3113.7260153645893,7784.315038411473,22.10270289673465
Presidente Prudente,Araçatuba,352.188376,352.188376,3,129.47998003515514,776.8798802109309,2175.616714358294,2952.4965945692247,7381.241486423061,20.958220058980768
Araçatuba,São Paulo,534.7604799999999,534.7604799999999,4,493.26257764192354,3946.1006211353883,2450.238823045804,6396.339444181192,15990.84861045298,29.902824177383085
Araçatuba,Campinas,534.7604799999999,534.7604799999999,4,401.86077700837325,3214.886216066986,2450.238823045804,5665.125039112791,14162.812597781976,26.48440400416646
Araçatuba,Sorocaba,534.7604799999999,534.7604799999999,4,394.9653054527486,3159.722443621989,2450.238823045804,5609.961266667793,14024.903166669483,26.22651390893636
Araçatuba,Ribeirão Preto,534.7604799999999,534.7604799999999,4,280.98378246511254,2247.8702597209003,2450.238823045804,4698.109082766705,11745.272706916763,21.963613891057854
Araçatuba,São José dos Campos,534.7604799999999,534.7604799999999,4,563.2234317485694,4505.787453988555,2450.238823045804,6956.02627703436,17390.0656925859,32.519354632537365
Araçatuba,São José do Rio Preto,534.7604799999999,534.7604799999999,4,113.77080691120292,910.1664552896234,2450.238823045804,3360.4052783354273,8401.013195838568,15.709861723212175
Araçatuba,Bauru,534.7604799999999,534.7604799999999,4,222.97560604983002,1783.8048483986402,2450.238823045804,4234.043671444444,10585.10917861111,19.794112643872097
